Nome: OURICURI
Codigo Estacao: 82753
Latitude: -7.87944443
Longitude: -40.09194444
Altitude: 462.01
Situacao: Operante
Data Inicial: 1992-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
1992-01-31;null;null;
1992-02-29;null;null;
1992-03-31;null;null;
1992-04-30;null;null;
1992-05-31;null;null;
1992-06-30;null;null;
1992-07-31;null;null;
1992-08-31;null;null;
1992-09-30;null;null;
1992-10-31;null;null;
1992-11-30;null;null;
1992-12-31;null;null;
1993-01-31;null;null;
1993-02-28;null;null;
1993-03-31;null;null;
1993-04-30;null;null;
1993-05-31;null;null;
1993-06-30;null;null;
1993-07-31;null;null;
1993-08-31;null;null;
1993-09-30;null;null;
1993-10-31;null;null;
1993-11-30;38,5;28,33;
1993-12-31;10,7;29,215484;
1994-01-31;95,6;26,607742;
1994-02-28;128,6;25,618571;
1994-03-31;84,1;25,075484;
1994-04-30;null;null;
1994-05-31;19,5;25,520645;
1994-06-30;9,9;24,472;
1994-07-31;12,4;23,777419;
1994-08-31;2,4;24,545161;
1994-09-30;1,2;25,598667;
1994-10-31;0;27,80129;
1994-11-30;0;28,800667;
1994-12-31;null;null;
1995-01-31;60,9;26,45871;
1995-02-28;136,2;25,310714;
1995-03-31;90,1;25,710323;
1995-04-30;137,3;24,53;
1995-05-31;56,4;24,504667;
1995-06-30;17,3;22,963333;
1995-07-31;26,1;23,059355;
1995-08-31;3;24,23;
1995-09-30;0;25,582667;
1995-10-31;,4;27,874839;
1995-11-30;37,2;27,480667;
1995-12-31;23,3;27,992903;
1996-01-31;109,6;26,608387;
1996-02-29;122,3;26,002143;
1996-03-31;102,1;25,469677;
1996-04-30;162,5;24,154;
1996-05-31;45,3;23,269032;
1996-06-30;11,2;22,876;
1996-07-31;2;23,030968;
1996-08-31;3,9;23,931613;
1996-09-30;1;26,042;
1996-10-31;,3;28,284516;
1996-11-30;104,1;27,004828;
1996-12-31;13,7;27,049677;
1997-01-31;136,6;25,376667;
1997-02-28;31,8;25,500714;
1997-03-31;223,9;25,503871;
1997-04-30;90,8;24,051333;
1997-05-31;43,6;22,865806;
1997-06-30;2,9;23,260667;
1997-07-31;19,1;22,843871;
1997-08-31;5,1;23,951613;
1997-09-30;0;27,528667;
1997-10-31;20,6;28,535484;
1997-11-30;12,5;28,234667;
1997-12-31;62,1;28,26;
1998-01-31;165,1;25,891613;
1998-02-28;62,3;27,194286;
