Nome: TRIUNFO
Codigo Estacao: 82789
Latitude: -7.82972221
Longitude: -38.12222221
Altitude: 1105
Situacao: Fechada
Data Inicial: 1992-01-01
Data Final: 2018-03-28
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
1992-01-31;null;null;
1992-02-29;null;null;
1992-03-31;null;null;
1992-04-30;null;null;
1992-05-31;null;null;
1992-06-30;null;null;
1992-07-31;null;null;
1992-08-31;null;null;
1992-09-30;null;null;
1992-10-31;null;null;
1992-11-30;null;null;
1992-12-31;null;null;
1993-01-31;0;null;
1993-02-28;0;null;
1993-03-31;null;null;
1993-04-30;null;null;
1993-05-31;null;null;
1993-06-30;null;null;
1993-07-31;null;null;
1993-08-31;null;null;
1993-09-30;null;null;
1993-10-31;null;null;
1993-11-30;26,8;23,194667;
1993-12-31;18;24,017419;
1994-01-31;328,2;22,574194;
1994-02-28;141,9;21,809286;
1994-03-31;166,6;21,27871;
1994-04-30;248,2;21,097333;
1994-05-31;165,6;19,969167;
1994-06-30;303,6;19,18;
1994-07-31;173,4;18,12129;
1994-08-31;45,2;18,586897;
1994-09-30;20,1;19,983333;
1994-10-31;0;22,382581;
1994-11-30;8;23,582667;
1994-12-31;66,8;23,230323;
1995-01-31;46;23,020645;
1995-02-28;187,3;22,264286;
1995-03-31;235,4;null;
1995-04-30;240,1;21,434;
1995-05-31;159,9;21,083871;
1995-06-30;140,5;18,995333;
1995-07-31;103,6;18,530968;
1995-08-31;31,8;19,413548;
1995-09-30;,8;20,754667;
1995-10-31;0;23,357419;
1995-11-30;105;23;
1995-12-31;24,8;23,346452;
1996-01-31;70,6;22,922581;
1996-02-29;245,5;22,377241;
1996-03-31;178,9;22,022581;
1996-04-30;200,2;21,092667;
1996-05-31;171,6;19,95871;
1996-06-30;222,3;18,604667;
1996-07-31;142,8;18,167742;
1996-08-31;159,5;18,741935;
1996-09-30;11;20,792667;
1996-10-31;0;23,309032;
1996-11-30;101;22,790345;
1996-12-31;37,8;23,809677;
1997-01-31;154,1;22,691613;
1997-02-28;23,4;22,126429;
1997-03-31;234,8;22,089333;
1997-04-30;282,6;20,830667;
1997-05-31;244,7;19,371613;
1997-06-30;54,7;19,596;
1997-07-31;137,2;18,230323;
1997-08-31;132,7;18,690968;
1997-09-30;0;22,582667;
1997-10-31;10,8;23,955484;
1997-11-30;42,9;24,028;
1997-12-31;77,6;24,027742;
1998-01-31;89,7;23,425161;
