Nome: SURUBIM
Codigo Estacao: 82797
Latitude: -7.839628
Longitude: -35.801056
Altitude: 421.44
Situacao: Operante
Data Inicial: 1992-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
1992-01-31;null;null;
1992-02-29;null;null;
1992-03-31;126,6;null;
1992-04-30;null;null;
1992-05-31;27,1;null;
1992-06-30;86,2;null;
1992-07-31;111,6;null;
1992-08-31;null;null;
1992-09-30;90,4;null;
1992-10-31;3,6;null;
1992-11-30;9,2;null;
1992-12-31;,3;null;
1993-01-31;1,2;24,719355;
1993-02-28;3;25,14;
1993-03-31;null;null;
1993-04-30;28,4;null;
1993-05-31;18,7;null;
1993-06-30;41,7;null;
1993-07-31;89,6;null;
1993-08-31;32,4;null;
1993-09-30;9,8;null;
1993-10-31;8,7;null;
1993-11-30;6,4;null;
1993-12-31;null;null;
1994-01-31;59;25,592903;
1994-02-28;12,4;25,680714;
1994-03-31;46,2;25,990968;
1994-04-30;43,3;25,055333;
1994-05-31;181;23,3;
1994-06-30;176,1;22,502;
1994-07-31;162,3;21,481379;
1994-08-31;null;null;
1994-09-30;null;null;
1994-10-31;null;null;
1994-11-30;2,4;24,245333;
1994-12-31;13,9;24,726452;
1995-01-31;,5;25,315484;
1995-02-28;81,8;25,315714;
1995-03-31;8;25,948387;
1995-04-30;53,4;25,011034;
1995-05-31;37,3;24,4;
1995-06-30;127,3;22,442;
1995-07-31;156,6;21,587097;
1995-08-31;27,6;21,412903;
1995-09-30;9,7;22,168;
1995-10-31;4,6;24,121333;
1995-11-30;18,6;24,319333;
1995-12-31;1,1;25,541935;
1996-01-31;null;null;
1996-02-29;18,7;25,332857;
1996-03-31;84,6;25,469032;
1996-04-30;116,2;24,637333;
1996-05-31;10,6;23,96;
1996-06-30;81;22,096667;
1996-07-31;86,7;21,476774;
1996-08-31;67,8;21,715484;
1996-09-30;30,8;22,127333;
1996-10-31;2;23,767097;
1996-11-30;28,4;24,269333;
1996-12-31;3,6;25,099355;
1997-01-31;4,4;25,42;
1997-02-28;95,1;24,351429;
1997-03-31;67;24,649032;
1997-04-30;95,5;23,789333;
1997-05-31;154,4;23,117419;
1997-06-30;40,9;22,288;
1997-07-31;97,8;21,792258;
1997-08-31;40,6;21,831538;
1997-09-30;6,7;null;
1997-10-31;,8;null;
1997-11-30;0;25,251333;
1997-12-31;30,6;25,726;
1998-01-31;1;26,570323;
