Nome: CABROBO
Codigo Estacao: 82886
Latitude: -8.50388888
Longitude: -39.31527777
Altitude: 342.78
Situacao: Operante
Data Inicial: 1992-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
1992-01-31;235,9;null;
1992-02-29;139,1;null;
1992-03-31;48,9;null;
1992-04-30;105;null;
1992-05-31;0;null;
1992-06-30;null;null;
1992-07-31;6,2;null;
1992-08-31;1,6;null;
1992-09-30;,2;null;
1992-10-31;,1;null;
1992-11-30;25,5;null;
1992-12-31;33,9;null;
1993-01-31;25,8;27,468387;
1993-02-28;15,2;28,605714;
1993-03-31;,4;null;
1993-04-30;43,9;null;
1993-05-31;21,9;null;
1993-06-30;null;null;
1993-07-31;2,7;null;
1993-08-31;3,9;null;
1993-09-30;0;null;
1993-10-31;4,6;null;
1993-11-30;2,1;28,866667;
1993-12-31;15,6;29,918667;
1994-01-31;164,4;27,900645;
1994-02-28;79,9;27,500714;
1994-03-31;177,5;25,647097;
1994-04-30;57,1;26,511333;
1994-05-31;8,1;26,112258;
1994-06-30;13;24,934444;
1994-07-31;10;23,755455;
1994-08-31;3,2;24,476129;
1994-09-30;2,1;25,620667;
1994-10-31;0;27,716774;
1994-11-30;null;null;
1994-12-31;null;null;
1995-01-31;31,8;28,093548;
1995-02-28;130,3;27,202143;
1995-03-31;215,7;27,353548;
1995-04-30;101;25,804;
1995-05-31;132,3;25,494194;
1995-06-30;16,2;23,416;
1995-07-31;9,2;23,568571;
1995-08-31;,9;24,551613;
1995-09-30;0;25,874667;
1995-10-31;0;28,341935;
1995-11-30;19;28,188;
1995-12-31;34;29,025517;
1996-01-31;6,5;28,810323;
1996-02-29;28,4;28,227143;
1996-03-31;87,8;27,773548;
1996-04-30;165,2;25,474667;
1996-05-31;27,4;25,30129;
1996-06-30;null;null;
1996-07-31;6,1;23,570968;
1996-08-31;7,7;24,185161;
1996-09-30;,6;26,324667;
1996-10-31;0;28,743871;
1996-11-30;147,9;27,636;
1996-12-31;27,6;27,812258;
1997-01-31;164,7;26,44129;
1997-02-28;36,5;26,695;
1997-03-31;149,5;26,018065;
1997-04-30;87,3;25,022667;
1997-05-31;38,8;23,809677;
1997-06-30;null;null;
1997-07-31;18,4;23,332258;
1997-08-31;4,3;24,027097;
1997-09-30;0;27,752;
1997-10-31;4,1;29,516774;
1997-11-30;58,9;28,578667;
1997-12-31;16,6;29,719355;
1998-01-31;72,5;28,332258;
1998-02-28;84,5;29,375;
1998-03-31;25,6;29,48;
1998-04-30;0;29,816;
1998-05-31;0;27,664516;
1998-06-30;0;null;
1998-07-31;25,4;24,908387;
1998-08-31;4;25,550323;
1998-09-30;,3;26,944;
1998-10-31;0;28,64;
1998-11-30;29,1;30,168667;
1998-12-31;47,4;29,094839;
1999-01-31;16,2;29,088387;
1999-02-28;9,3;28,914286;
1999-03-31;87,7;27,44129;
1999-04-30;46;27,738667;
1999-05-31;7;26,456774;
1999-06-30;0;null;
1999-07-31;9,1;24,17871;
1999-08-31;7,9;24,468387;
1999-09-30;4,8;26,053333;
1999-10-31;30,2;27,158065;
1999-11-30;48,7;28,193333;
1999-12-31;100,4;27,536774;
2000-01-31;117,7;26,877419;
2000-02-29;150,7;26,269655;
2000-03-31;127,3;25,994839;
2000-04-30;55,7;26,545333;
2000-05-31;2,6;26,430968;
2000-06-30;null;null;
2000-07-31;8;24,530323;
2000-08-31;5;25,205161;
2000-09-30;7,1;26,202667;
2000-10-31;0;28,060645;
2000-11-30;17,1;28,410667;
2000-12-31;114,3;27,707742;
2001-01-31;1,8;27,87871;
2001-02-28;70,2;27,572143;
2001-03-31;259,3;26,553548;
2001-04-30;8,8;27,017333;
2001-05-31;,3;27,774839;
2001-06-30;null;null;
2001-07-31;20,4;24,424516;
2001-08-31;5,3;24,016774;
2001-09-30;0;26,876;
2001-10-31;31,8;28,26129;
2001-11-30;0;29,530667;
2001-12-31;128,3;28,824516;
2002-01-31;214,6;25,216774;
2002-02-28;,3;null;
2002-03-31;105,1;null;
2002-04-30;25,8;26,98;
2002-05-31;10,1;26,499355;
2002-06-30;0;null;
2002-07-31;8,2;25,023871;
2002-08-31;,9;25,197419;
2002-09-30;0;27,51;
2002-10-31;0;28,362581;
2002-11-30;0;29,408667;
2002-12-31;99,3;28,721935;
2003-01-31;48,2;28,775484;
2003-02-28;23,5;27,286429;
2003-03-31;142,8;27,413548;
2003-04-30;99,7;26,984667;
2003-05-31;26,9;26,48129;
2003-06-30;null;null;
2003-07-31;9,9;24,308276;
2003-08-31;6,3;25,895484;
2003-09-30;,2;26,878667;
2003-10-31;0;27,768387;
2003-11-30;2,3;28,922667;
2003-12-31;2,6;29,974194;
2004-01-31;502,8;26,888387;
2004-02-29;148,1;26,313103;
2004-03-31;62,2;26,873548;
2004-04-30;,4;27,864;
2004-05-31;18,6;26,304516;
2004-06-30;null;null;
2004-07-31;2,9;24,359355;
2004-08-31;1,9;25,067097;
2004-09-30;,9;26,042667;
2004-10-31;,4;28,650323;
2004-11-30;24,6;29,028;
2004-12-31;34,4;29,347742;
2005-01-31;59,6;28,383226;
2005-02-28;138,4;27,98;
2005-03-31;162,8;27,637931;
2005-04-30;null;null;
2005-05-31;76,7;25,287097;
2005-06-30;34,9;24,716;
2005-07-31;9,9;23,675484;
2005-08-31;null;24,381739;
2005-09-30;,7;26,808;
2005-10-31;0;28,608387;
2005-11-30;153,7;29,308;
2005-12-31;13,6;27,959355;
2006-01-31;0;28,869032;
2006-02-28;74,6;28,418571;
2006-03-31;248,3;26,847097;
2006-04-30;89,7;25,89;
2006-05-31;12,3;25,494839;
2006-06-30;null;null;
