Nome: ARCO VERDE
Codigo Estacao: 82890
Latitude: -8.4336111
Longitude: -37.05527777
Altitude: 683.91
Situacao: Operante
Data Inicial: 1992-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
1992-01-31;180,8;null;
1992-02-29;184,4;null;
1992-03-31;190,5;null;
1992-04-30;110,4;null;
1992-05-31;null;null;
1992-06-30;50,3;null;
1992-07-31;52,9;null;
1992-08-31;47;null;
1992-09-30;52,3;null;
1992-10-31;0;null;
1992-11-30;3,8;null;
1992-12-31;,2;null;
1993-01-31;7;24,783871;
1993-02-28;3,2;25,436429;
1993-03-31;null;null;
1993-04-30;33,8;null;
1993-05-31;20,3;null;
1993-06-30;84,4;null;
1993-07-31;50,8;null;
1993-08-31;42,1;null;
1993-09-30;0;null;
1993-10-31;8,2;null;
1993-11-30;34,1;25,147;
1993-12-31;,2;26,167742;
1994-01-31;22,5;26,024516;
1994-02-28;36,4;25,6;
1994-03-31;null;null;
1994-04-30;17,2;24,252667;
1994-05-31;119,2;22,346452;
1994-06-30;209,9;21,368;
1994-07-31;125,1;20,298065;
1994-08-31;48,8;20,23871;
1994-09-30;17,5;21,367333;
1994-10-31;9,1;23,526;
1994-11-30;6;24,906897;
1994-12-31;9,4;25,374667;
1995-01-31;29,8;25,510968;
1995-02-28;82,7;25,065714;
1995-03-31;null;null;
1995-04-30;65,6;24,022;
1995-05-31;103,5;23,354194;
1995-06-30;56,3;21,258667;
1995-07-31;83,7;20,374194;
1995-08-31;16,1;21,296129;
1995-09-30;3,6;22,048;
1995-10-31;0;24,533548;
1995-11-30;88,2;24,441333;
1995-12-31;21,6;25,480645;
1996-01-31;0;null;
1996-02-29;6,3;26,011429;
1996-03-31;26,6;25,589032;
1996-04-30;147,9;23,261333;
1996-05-31;63,9;22,067097;
1996-06-30;115,6;20,762;
1996-07-31;106,2;19,670323;
1996-08-31;110,7;20,136129;
1996-09-30;7,6;21,943333;
1996-10-31;3;24,152;
1996-11-30;27,5;24,634667;
1996-12-31;3,3;25,26129;
1997-01-31;0;null;
1997-02-28;36,5;null;
1997-03-31;185,3;24,204516;
1997-04-30;78,5;22,39;
1997-05-31;129,4;21,276667;
1997-06-30;14,6;21,024;
1997-07-31;106,7;20,174839;
1997-08-31;69;20,176774;
1997-09-30;0;23,111333;
1997-10-31;0;24,949032;
1997-11-30;11,4;25,502667;
1997-12-31;9,4;25,86;
1998-01-31;24;null;
1998-02-28;2;26,422222;
1998-03-31;39,5;26,197419;
1998-04-30;49;25,647857;
1998-05-31;43,1;23,413548;
1998-06-30;21,7;21,946667;
1998-07-31;68,7;21,395484;
1998-08-31;51,1;21,083871;
1998-09-30;2,1;22,424828;
1998-10-31;0;24,36;
1998-11-30;0;25,866667;
1998-12-31;0;25,667742;
1999-01-31;0;null;
1999-02-28;null;null;
1999-03-31;null;null;
1999-04-30;3,4;24,832;
1999-05-31;79,3;22,892258;
1999-06-30;15,2;22,106667;
1999-07-31;70;20,446452;
1999-08-31;13,9;20,949677;
1999-09-30;4,1;22,646;
1999-10-31;73,2;23,199355;
1999-11-30;26,1;24,723333;
1999-12-31;89,4;24,578065;
2000-01-31;43,3;24,185806;
2000-02-29;83,5;24,464828;
2000-03-31;70,2;24,2;
2000-04-30;135,9;23,436552;
2000-05-31;27,6;22,445806;
2000-06-30;110,8;21,443846;
2000-07-31;75,3;20,365806;
2000-08-31;86,8;20,688966;
2000-09-30;32,3;21,782222;
2000-10-31;17,2;23,331034;
2000-11-30;30,6;24,546667;
2000-12-31;136,7;24,262857;
2001-01-31;10,3;null;
2001-02-28;16,3;24,94963;
2001-03-31;130,1;24,285806;
2001-04-30;64,4;23,01;
2001-05-31;,8;24,253548;
2001-06-30;169;20,599333;
2001-07-31;109,9;20,216129;
2001-08-31;62,5;19,57871;
2001-09-30;1,4;22,366897;
2001-10-31;78,1;23,35871;
2001-11-30;6,7;24,533333;
2001-12-31;2,6;24,996129;
2002-01-31;154,1;23,205806;
2002-02-28;18;23,440714;
2002-03-31;71,5;23,683226;
2002-04-30;34,6;23,346667;
2002-05-31;22,5;22,643226;
2002-06-30;88,8;20,417241;
2002-07-31;39,2;20,862581;
2002-08-31;35,7;20,753793;
2002-09-30;4,3;22,957333;
2002-10-31;6,9;23,938065;
2002-11-30;,7;25,23;
2002-12-31;49,7;25,622581;
2003-01-31;28,2;26,106452;
2003-02-28;28,2;24,735;
