Nome: PESQUEIRA
Codigo Estacao: 82892
Latitude: -8.370701
Longitude: -36.707812
Altitude: 643.38
Situacao: Desativada
Data Inicial: 1992-01-01
Data Final: 2015-11-18
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
1992-01-31;null;null;
1992-02-29;null;null;
1992-03-31;null;null;
1992-04-30;91,5;23,396667;
1992-05-31;null;null;
1992-06-30;27,5;21,531333;
1992-07-31;43,7;20,267097;
1992-08-31;4,9;20,813333;
1992-09-30;35,3;21,642667;
1992-10-31;1,3;22,707742;
1992-11-30;,8;23,686667;
1992-12-31;1,7;24,601333;
1993-01-31;11,1;24,324516;
1993-02-28;,3;24,768571;
1993-03-31;1;null;
1993-04-30;8,1;null;
1993-05-31;43,9;null;
1993-06-30;34,7;null;
1993-07-31;23;null;
1993-08-31;23,3;null;
1993-09-30;,5;null;
1993-10-31;99,5;null;
1993-11-30;25,4;23,958621;
1993-12-31;0;25,012903;
1994-01-31;23,4;24,912258;
1994-02-28;158,2;24,6;
1994-03-31;93,9;24,145806;
1994-04-30;43,1;23,668667;
1994-05-31;72,2;22,294839;
1994-06-30;103;21,57;
1994-07-31;51,7;20,464516;
1994-08-31;25,9;20,410968;
1994-09-30;30,9;21,451034;
1994-10-31;3,1;null;
1994-11-30;2;24,132667;
1994-12-31;2,9;null;
1995-01-31;32,3;24,801935;
1995-02-28;38,8;24,717857;
1995-03-31;176,3;24,694194;
1995-04-30;96,6;23,992;
1995-05-31;75;23,448387;
1995-06-30;36,4;21,422667;
1995-07-31;63,1;20,145806;
1995-08-31;13,5;21,587097;
1995-09-30;1,6;21,872;
1995-10-31;0;23,442581;
1995-11-30;140,8;23,498667;
1995-12-31;10,2;24,26;
1996-01-31;20;23,923871;
1996-02-29;116,8;25,932143;
1996-03-31;17,8;24,003871;
1996-04-30;181,6;23,053333;
1996-05-31;165,7;21,940645;
1996-06-30;49,3;20,835333;
1996-07-31;41,4;19,992903;
1996-08-31;0;null;
1996-09-30;null;null;
1996-10-31;7,1;23,582727;
1996-11-30;16,7;23,859333;
1996-12-31;1,8;24,52129;
1997-01-31;74,1;24,149032;
1997-02-28;27,9;22,835;
1997-03-31;215,7;23,680645;
1997-04-30;39;22,302;
1997-05-31;122,4;21,498065;
1997-06-30;43;20,990667;
1997-07-31;61,4;19,795484;
1997-08-31;37,3;20,029677;
1997-09-30;,8;22,261333;
1997-10-31;,5;24,52129;
1997-11-30;14,7;24,696;
