Nome: GARANHUNS
Codigo Estacao: 82893
Latitude: -8.91083333
Longitude: -36.49333333
Altitude: 827.78
Situacao: Fechada
Data Inicial: 1992-01-01
Data Final: 2022-11-11
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
1992-01-31;null;null;
1992-02-29;null;null;
1992-03-31;null;null;
1992-04-30;108,6;null;
1992-05-31;20,6;null;
1992-06-30;null;null;
1992-07-31;90,2;null;
1992-08-31;63,6;null;
1992-09-30;83,3;null;
1992-10-31;2,1;null;
1992-11-30;null;null;
1992-12-31;,8;null;
1993-01-31;20,6;null;
1993-02-28;14,5;null;
1993-03-31;26,8;null;
1993-04-30;10,2;null;
1993-05-31;45;null;
1993-06-30;89,4;null;
1993-07-31;77;null;
1993-08-31;52,9;null;
1993-09-30;7;null;
1993-10-31;42,6;null;
1993-11-30;14,2;21,32;
1993-12-31;5,8;22,534815;
1994-01-31;4;23,130968;
1994-02-28;52,9;23,075;
1994-03-31;31;23,322;
1994-04-30;26,8;22,220667;
1994-05-31;168,2;null;
1994-06-30;309,4;20,286207;
1994-07-31;167,7;19,077333;
1994-08-31;121,4;18,728387;
1994-09-30;88,8;19,365333;
1994-10-31;10,6;20,91871;
1994-11-30;18,6;21,576;
1994-12-31;12,1;22,294839;
1995-01-31;0;22,960645;
1995-02-28;16,5;23,097778;
1995-03-31;46,4;23,448387;
1995-04-30;106,4;22,395333;
1995-05-31;136,5;21,545806;
1995-06-30;175,9;19,657333;
1995-07-31;144,9;18,86129;
1995-08-31;50;18,933548;
1995-09-30;31;19,198;
1995-10-31;2,4;21,313548;
1995-11-30;84,7;21,708667;
1995-12-31;28;23,016129;
1996-01-31;10,8;22,621333;
1996-02-29;52,7;22,930345;
1996-03-31;9,6;23,383226;
1996-04-30;161;22,009333;
1996-05-31;138,1;20,830909;
1996-06-30;160,5;19,302;
1996-07-31;128,9;18,452414;
1996-08-31;138,9;18,698667;
1996-09-30;21,9;19,626667;
1996-10-31;9,2;21,409677;
1996-11-30;37,6;22,196667;
1996-12-31;1,9;22,863871;
1997-01-31;78;22,94;
1997-02-28;64;21,78;
1997-03-31;83,2;22,181935;
1997-04-30;130,8;21,416;
1997-05-31;137,3;20,303333;
1997-06-30;55,7;19,626;
1997-07-31;124;18,454;
1997-08-31;108,3;18,58069;
1997-09-30;9,6;20,698462;
1997-10-31;0;22,327742;
1997-11-30;8,5;22,535333;
1997-12-31;46,9;23,063871;
