Nome: RECIFE (CURADO)
Codigo Estacao: 82900
Latitude: -8.05916666
Longitude: -34.95916666
Altitude: 11.3
Situacao: Fechada
Data Inicial: 1992-01-01
Data Final: 2020-08-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
1992-01-31;156,5;26,642581;
1992-02-29;348,9;26,688276;
1992-03-31;421,8;26,536774;
1992-04-30;135,4;26,874667;
1992-05-31;141,3;25,786452;
1992-06-30;481,2;24,348667;
1992-07-31;367,2;23,8;
1992-08-31;159,8;23,778621;
1992-09-30;146,1;24,78;
1992-10-31;42,6;25,252258;
1992-11-30;75;25,56069;
1992-12-31;15,5;26,345161;
1993-01-31;49,6;26,55871;
1993-02-28;93,1;26,899286;
1993-03-31;63,5;26,886452;
1993-04-30;135,3;26,562;
1993-05-31;214,7;25,592903;
1993-06-30;277,9;24,673333;
1993-07-31;183,6;23,803871;
1993-08-31;161,3;24,396129;
1993-09-30;49,4;25,492;
1993-10-31;34,2;26,436774;
1993-11-30;29,1;27,004667;
1993-12-31;34,6;27,240645;
1994-01-31;143,4;26,95871;
1994-02-28;96,5;27,412143;
1994-03-31;293,5;27,525161;
1994-04-30;232,8;26,211333;
1994-05-31;575;25,338065;
1994-06-30;671,1;25,015333;
1994-07-31;287,1;24,362581;
1994-08-31;153,8;24,167742;
1994-09-30;163,7;24,739333;
1994-10-31;23,4;25,934839;
1994-11-30;15,8;26,222667;
1994-12-31;32,7;26,88129;
1995-01-31;29,8;26,834839;
1995-02-28;124;27,196429;
1995-03-31;214,5;27,387742;
1995-04-30;186,2;26,447333;
1995-05-31;351,3;25,849032;
1995-06-30;525,2;24,291333;
1995-07-31;319,6;24,33871;
1995-08-31;46,8;24,336129;
1995-09-30;26,2;25,29;
1995-10-31;27,4;26,191613;
1995-11-30;53,8;26,194667;
1995-12-31;6,5;26,934839;
1996-01-31;159,4;27,174839;
1996-02-29;155;27,115862;
1996-03-31;159,2;27,208387;
1996-04-30;462,7;26,232;
1996-05-31;232;25,745161;
1996-06-30;236,5;24,888667;
1996-07-31;380,4;24,016129;
1996-08-31;253,8;24,536774;
1996-09-30;191;25,114;
1996-10-31;33,4;26,436774;
1996-11-30;63,7;26,693333;
1996-12-31;38,2;27,23871;
1997-01-31;30,6;27,698065;
1997-02-28;158,6;27,033571;
1997-03-31;224,4;26,831613;
1997-04-30;362,7;26,156667;
1997-05-31;466,3;25,5;
1997-06-30;182,2;24,213333;
1997-07-31;205,4;23,887097;
1997-08-31;130,1;24,280645;
1997-09-30;20,5;25,242667;
1997-10-31;15,5;26,476129;
1997-11-30;43;26,903333;
1997-12-31;71,8;27,165806;
1998-01-31;67,4;27,843226;
1998-02-28;42,2;28,584286;
1998-03-31;83,6;28,486452;
1998-04-30;115,9;27,935333;
1998-05-31;187,6;26,354194;
1998-06-30;166,6;25,29;
1998-07-31;169,1;24,753548;
1998-08-31;277,8;24,398065;
1998-09-30;52,3;25,406;
1998-10-31;55,4;26,26129;
