Nome: PETROLINA
Codigo Estacao: 82983
Latitude: -9.3886111
Longitude: -40.52333332
Altitude: 372.54
Situacao: Operante
Data Inicial: 1992-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
1992-01-31;237,9;null;
1992-02-29;23,2;null;
1992-03-31;17,1;null;
1992-04-30;64;null;
1992-05-31;9;null;
1992-06-30;1,8;null;
1992-07-31;0;null;
1992-08-31;0;null;
1992-09-30;,8;26,424;
1992-10-31;,8;28,356552;
1992-11-30;47,4;28,268;
1992-12-31;66,9;26,946;
1993-01-31;37;27,665806;
1993-02-28;40,5;28,64;
1993-03-31;0;null;
1993-04-30;5,9;null;
1993-05-31;0;null;
1993-06-30;0;null;
1993-07-31;1,5;null;
1993-08-31;0;null;
1993-09-30;0;null;
1993-10-31;18,1;null;
1993-11-30;66,8;28,658667;
1993-12-31;32,2;29,395484;
1994-01-31;110,2;28,220645;
1994-02-28;156,2;28,535;
1994-03-31;111,8;26,590968;
1994-04-30;47,6;27,07;
1994-05-31;3,3;26,603226;
1994-06-30;5,7;25,528;
1994-07-31;16,4;24,115484;
1994-08-31;0;25,179355;
1994-09-30;0;26,335333;
1994-10-31;0;28,343871;
1994-11-30;4,1;29,167333;
1994-12-31;32,2;29,070968;
1995-01-31;134,4;28,004516;
1995-02-28;208,5;27,352143;
1995-03-31;162,9;27,651613;
1995-04-30;19,8;27,236667;
1995-05-31;31,4;null;
1995-06-30;,6;24,904667;
1995-07-31;5,4;24,244516;
1995-08-31;,3;25,130323;
1995-09-30;0;26,316;
1995-10-31;1,3;28,916129;
1995-11-30;74,6;27,748667;
1995-12-31;62,8;27,385806;
1996-01-31;1,3;28,494194;
1996-02-29;59,4;28,823571;
1996-03-31;177;27,861935;
1996-04-30;43,9;26,681333;
1996-05-31;4,2;26,169032;
1996-06-30;2,6;24,313333;
1996-07-31;,7;24,2;
1996-08-31;3,6;25,089677;
1996-09-30;,4;26,684;
1996-10-31;0;28,933548;
1996-11-30;195,9;27,381333;
1996-12-31;48,1;28,012258;
1997-01-31;76,7;26,875484;
1997-02-28;32;27,092857;
1997-03-31;220,3;25,496129;
1997-04-30;30,5;25,598;
1997-05-31;18,3;24,14129;
1997-06-30;7,4;24,472;
1997-07-31;1,8;23,647097;
1997-08-31;0;24,670968;
1997-09-30;0;28,272;
1997-10-31;13;29,463226;
1997-11-30;36,2;28,698667;
1997-12-31;25,9;29,525161;
1998-01-31;54;28,434194;
1998-02-28;54,4;29,331429;
1998-03-31;25,4;30,050323;
1998-04-30;0;29,661333;
1998-05-31;0;27,929677;
1998-06-30;0;25,174;
1998-07-31;0;25,118065;
1998-08-31;0;25,824516;
1998-09-30;0;27,117333;
1998-10-31;0;28,996774;
1998-11-30;73,3;29,178;
1998-12-31;4,7;28,642581;
1999-01-31;88,9;28,72;
1999-02-28;33,8;28,873571;
1999-03-31;167,1;27,307097;
1999-04-30;0;28,268667;
1999-05-31;4,2;26,559355;
1999-06-30;1,6;25,583333;
1999-07-31;,8;24,782581;
1999-08-31;4,6;24,017419;
1999-09-30;11,4;25,93;
1999-10-31;6,2;27,039355;
1999-11-30;164,9;27,310667;
1999-12-31;111,7;26,818065;
2000-01-31;76,6;26,728387;
2000-02-29;170,4;26,361379;
2000-03-31;57,3;26,530323;
2000-04-30;67,2;26,658;
2000-05-31;12,6;26,196129;
2000-06-30;8,2;24,876;
2000-07-31;,4;24,629032;
2000-08-31;0;25,42;
2000-09-30;3;null;
2000-10-31;6,6;28,239355;
2000-11-30;125,3;null;
2000-12-31;109,7;26,908387;
2001-01-31;9,6;27,418065;
2001-02-28;70,7;28,057778;
2001-03-31;107;27,596774;
2001-04-30;,4;27,577333;
2001-05-31;,8;28,077037;
2001-06-30;41,3;24,8288;
2001-07-31;7,5;24,608276;
2001-08-31;1,2;24,414667;
2001-09-30;20,8;26,704286;
2001-10-31;0;28,467097;
2001-11-30;1,8;29,587333;
2001-12-31;67,2;28,730323;
2002-01-31;256,4;25,680645;
2002-02-28;38,3;27,187143;
2002-03-31;4,2;28,38129;
2002-04-30;20,3;27,682667;
2002-05-31;10,3;26,714194;
2002-06-30;2,6;25,307333;
2002-07-31;1,6;25,341935;
2002-08-31;0;25,574839;
2002-09-30;1,6;27,296;
2002-10-31;0;28,681935;
2002-11-30;11,7;29,282;
2002-12-31;74,2;28,875484;
2003-01-31;134,4;28,514194;
2003-02-28;1,6;28,126429;
2003-03-31;101,4;28,402581;
2003-04-30;43,9;28,069333;
2003-05-31;,6;26,538065;
2003-06-30;0;25,386667;
2003-07-31;,8;24,176129;
2003-08-31;,4;25,823226;
2003-09-30;3,8;26,928;
2003-10-31;3,8;28,108387;
2003-11-30;40,2;28,074667;
2003-12-31;44,6;29,718065;
2004-01-31;416,8;26,67871;
2004-02-29;138,6;26,571034;
2004-03-31;73,8;26,892903;
2004-04-30;27,8;27,598667;
2004-05-31;17,6;26,219355;
2004-06-30;0;25,313333;
2004-07-31;,8;24,695484;
2004-08-31;0;25,427097;
2004-09-30;0;26,517333;
2004-10-31;6,6;28,843871;
2004-11-30;7;28,968;
2004-12-31;2,4;29,660645;
2005-01-31;35,5;28,882581;
2005-02-28;151;27,978571;
2005-03-31;69,2;27,612258;
2005-04-30;29;26,967333;
2005-05-31;21,6;25,811613;
2005-06-30;19;24,966;
2005-07-31;4,4;24,200645;
2005-08-31;3,8;25,207742;
2005-09-30;0;27,438667;
2005-10-31;0;28,847742;
2005-11-30;58,8;28,768;
2005-12-31;16,6;27,62;
2006-01-31;0;29,05871;
2006-02-28;29,2;28,504286;
2006-03-31;139,9;27,394194;
2006-04-30;51,7;26,558667;
2006-05-31;29,4;25,848387;
2006-06-30;3,1;24,122667;
2006-07-31;4,8;23,803226;
2006-08-31;2,2;24,846452;
2006-09-30;7;26,583333;
2006-10-31;19,1;28,134194;
2006-11-30;46,7;27,699333;
2006-12-31;37,2;29,091613;
2007-01-31;,2;29,855484;
2007-02-28;227,8;26,577857;
2007-03-31;7,8;26,71871;
2007-04-30;77,3;27,238667;
2007-05-31;,7;26,05871;
2007-06-30;1,9;24,766667;
2007-07-31;3;24,336774;
2007-08-31;3,3;24,193548;
2007-09-30;,3;25,644;
2007-10-31;0;27,609032;
2007-11-30;30,5;28,742;
2007-12-31;23,2;28,465806;
2008-01-31;74,6;null;
2008-02-29;151,2;27,8704;
2008-03-31;275,2;26,417419;
2008-04-30;75,9;26,224;
2008-05-31;3,1;25,389677;
2008-06-30;5,7;24,273333;
2008-07-31;,2;23,530968;
2008-08-31;0;24,978065;
2008-09-30;0;26,709333;
2008-10-31;0;28,025806;
2008-11-30;0;29,631333;
2008-12-31;63,1;27,939355;
2009-01-31;40,4;28,189677;
2009-02-28;140,4;27,005714;
2009-03-31;145,4;27,771613;
2009-04-30;181,2;26,454667;
2009-05-31;59,3;25,28;
2009-06-30;8,1;24,852;
2009-07-31;3,4;25,139355;
2009-08-31;3,4;25,612903;
2009-09-30;0;28,059333;
2009-10-31;106,1;28,216774;
2009-11-30;0;29,058;
2009-12-31;60;28,572903;
2010-01-31;28,3;28,172258;
2010-02-28;28,4;29,124286;
2010-03-31;26,8;28,844516;
2010-04-30;84,2;27,14;
2010-05-31;9,6;27,554194;
2010-06-30;10,3;25,110667;
2010-07-31;21,6;24,18129;
2010-08-31;0;24,372903;
2010-09-30;4;25,936667;
2010-10-31;54;28,524516;
2010-11-30;1,1;29,590667;
2010-12-31;151,2;27,589032;
2011-01-31;62,2;27,607097;
2011-02-28;66,4;27,791429;
2011-03-31;63,5;27,460645;
2011-04-30;47;26,974;
2011-05-31;9,4;25,969677;
2011-06-30;0;25,364;
2011-07-31;0;24,785161;
2011-08-31;5,8;26,01871;
2011-09-30;0;26,262667;
2011-10-31;9,4;27,99871;
2011-11-30;8,5;28,149333;
2011-12-31;10,7;29,267742;
2012-01-31;28,9;29,139355;
2012-02-29;85,2;27,765517;
2012-03-31;,2;29,295484;
2012-04-30;0;28,836667;
2012-05-31;,4;27,257419;
2012-06-30;2,3;26,326;
2012-07-31;1,2;24,811613;
2012-08-31;1,8;24,736129;
2012-09-30;0;26,822667;
2012-10-31;0;28,181935;
2012-11-30;19,3;29,347333;
2012-12-31;1,8;29,672258;
2013-01-31;30;29,404516;
2013-02-28;0;30,150714;
2013-03-31;54,8;30,306452;
2013-04-30;33,8;28,526;
2013-05-31;1,8;26,947742;
2013-06-30;6,8;26,114;
2013-07-31;13,6;25,214194;
2013-08-31;4,6;25,408387;
2013-09-30;,4;27,242;
2013-10-31;0;28,340645;
