Nome: RECIFE
Codigo Estacao: A301
Latitude: -8.05916666
Longitude: -34.95916666
Altitude: 11.3
Situacao: Pane
Data Inicial: 2004-12-21
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2004-12-31;null;null;
2005-01-31;17,8;27,495039;
2005-02-28;86,4;27,496907;
2005-03-31;81,2;27,920529;
2005-04-30;174,2;26,965954;
2005-05-31;515,8;25,531048;
2005-06-30;738,4;24,659722;
2005-07-31;186,4;24,044466;
2005-08-31;294,4;23,85336;
2005-09-30;46;24,885656;
2005-10-31;58,2;25,747478;
2005-11-30;11;26,595783;
2005-12-31;164,8;26,485278;
2006-01-31;13,2;26,774951;
2006-02-28;null;27,382609;
2006-03-31;null;27,030556;
2006-04-30;null;26,36689;
2006-05-31;null;null;
2006-06-30;434,4;24,530676;
2006-07-31;229,2;23,94122;
2006-08-31;154,2;24,12381;
2006-09-30;81;24,845588;
2006-10-31;10;26,364779;
2006-11-30;84,4;26,600484;
2006-12-31;108,2;26,694371;
2007-01-31;85,6;26,901911;
2007-02-28;null;27,248792;
2007-03-31;115,8;26,315225;
2007-04-30;342,2;25,951528;
2007-05-31;222;25,113412;
2007-06-30;394;24,305387;
2007-07-31;336;23,560841;
2007-08-31;217,6;23,733883;
2007-09-30;122,2;24,134475;
2007-10-31;26,8;25,241801;
2007-11-30;38,8;26,081667;
2007-12-31;31,4;26,57895;
2008-01-31;84,6;26,445027;
2008-02-29;32,6;27,147845;
2008-03-31;392,2;26,17164;
2008-04-30;null;25,326449;
2008-05-31;434,2;24,727252;
2008-06-30;null;23,693519;
2008-07-31;null;null;
2008-08-31;null;null;
2008-09-30;null;null;
2008-10-31;null;null;
2008-11-30;null;null;
2008-12-31;null;null;
2009-01-31;null;null;
2009-02-28;null;null;
2009-03-31;null;null;
2009-04-30;null;null;
2009-05-31;null;null;
2009-06-30;null;null;
2009-07-31;309,4;24,250013;
2009-08-31;249,2;24,443056;
2009-09-30;78;25,314862;
2009-10-31;14,2;25,998707;
2009-11-30;44,4;26,769167;
2009-12-31;45,8;27,229301;
2010-01-31;173,6;26,342388;
2010-02-28;45,6;27,396154;
2010-03-31;84;27,611288;
2010-04-30;258,8;26,927639;
2010-05-31;112,6;26,109677;
2010-06-30;503,2;25,102917;
2010-07-31;183,2;24,294861;
2010-08-31;181;23,505821;
2010-09-30;41;24,713333;
