Nome: PETROLINA
Codigo Estacao: A307
Latitude: -9.38833333
Longitude: -40.52333332
Altitude: 372.72
Situacao: Operante
Data Inicial: 2003-02-20
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2003-02-28;null;null;
2003-03-31;102,8;28,141667;
2003-04-30;43,6;27,882639;
2003-05-31;1;26,357802;
2003-06-30;0;25,229598;
2003-07-31;2,6;23,977729;
2003-08-31;,4;25,723656;
2003-09-30;5;26,712639;
2003-10-31;0;27,8625;
2003-11-30;40,8;27,8375;
2003-12-31;49;29,563979;
2004-01-31;479,8;26,336945;
2004-02-29;158,8;26,260507;
2004-03-31;74,8;26,634543;
2004-04-30;30,2;27,455356;
2004-05-31;19,8;26,086425;
2004-06-30;0;25,135193;
2004-07-31;,2;24,323674;
2004-08-31;,2;25,116591;
2004-09-30;,2;26,300516;
2004-10-31;7,2;28,580128;
2004-11-30;,2;28,699216;
2004-12-31;2,6;29,521461;
2005-01-31;39,2;28,778443;
2005-02-28;null;27,755733;
2005-03-31;75,6;27,481068;
2005-04-30;31,6;26,80878;
2005-05-31;null;25,402584;
2005-06-30;13,8;24,858866;
2005-07-31;5,4;24,171649;
2005-08-31;null;25,174885;
2005-09-30;null;27,216316;
2005-10-31;0;28,650109;
2005-11-30;64,4;28,82005;
2005-12-31;17,2;27,513038;
2006-01-31;,2;28,805201;
2006-02-28;null;28,475536;
2006-03-31;150,2;27,285501;
2006-04-30;null;26,23007;
2006-05-31;null;25,573992;
2006-06-30;null;23,852862;
2006-07-31;null;null;
2006-08-31;null;24,9075;
2006-09-30;8;26,441252;
2006-10-31;21;27,989873;
2006-11-30;51,2;27,560374;
2006-12-31;38,6;28,897019;
2007-01-31;,4;29,77261;
2007-02-28;245;26,436439;
2007-03-31;6,6;26,685572;
2007-04-30;79,2;27,336389;
2007-05-31;1,4;26,112397;
2007-06-30;1,8;24,828889;
2007-07-31;4;24,271127;
2007-08-31;6,6;24,201175;
2007-09-30;1,4;25,570968;
2007-10-31;0;27,537786;
2007-11-30;null;28,792704;
2007-12-31;31,8;28,544744;
2008-01-31;116,4;28,867679;
2008-02-29;216,6;27,617863;
2008-03-31;null;26,473467;
2008-04-30;null;null;
2008-05-31;null;25,445096;
2008-06-30;null;24,304106;
2008-07-31;,4;23,633199;
2008-08-31;0;25,037903;
2008-09-30;0;26,78;
2008-10-31;0;28,0875;
2008-11-30;null;null;
2008-12-31;null;null;
2009-01-31;39,4;28,536962;
2009-02-28;134;27,062351;
2009-03-31;129,4;27,813038;
2009-04-30;178,2;26,122222;
2009-05-31;57,8;25,022604;
2009-06-30;5,2;24,730833;
2009-07-31;,6;24,990188;
2009-08-31;2,8;25,438172;
2009-09-30;0;27,824583;
2009-10-31;101;28,148851;
2009-11-30;0;28,827639;
2009-12-31;null;28,39221;
2010-01-31;27,8;28,047495;
2010-02-28;29;29,097024;
2010-03-31;null;28,944377;
2010-04-30;null;null;
2010-05-31;null;null;
2010-06-30;null;null;
2010-07-31;null;null;
2010-08-31;0;24,326578;
2010-09-30;3,8;25,817778;
