Nome: ARCO VERDE
Codigo Estacao: A309
Latitude: -8.4336111
Longitude: -37.05555555
Altitude: 683.95
Situacao: Operante
Data Inicial: 2004-11-19
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2004-11-30;null;null;
2004-12-31;null;25,461334;
2005-01-31;28,2;26,302273;
2005-02-28;78;25,893323;
2005-03-31;212;25,864651;
2005-04-30;22,6;24,148696;
2005-05-31;100,2;22,42784;
2005-06-30;169,8;21,073889;
2005-07-31;59,6;20,247452;
2005-08-31;98,4;20,217339;
2005-09-30;10,4;22,413194;
2005-10-31;0;24,20329;
2005-11-30;null;25,571265;
2005-12-31;115;24,484005;
2006-01-31;,6;25,106586;
2006-02-28;null;25,984141;
2006-03-31;77;25,461507;
2006-04-30;null;24,138272;
2006-05-31;null;22,391067;
2006-06-30;134,4;20,857397;
2006-07-31;67,8;20,359338;
2006-08-31;47,2;20,856558;
2006-09-30;25,4;23,071111;
2006-10-31;2,8;24,848925;
2006-11-30;17,8;25,350771;
2006-12-31;0;26,230014;
2007-01-31;,6;26,248253;
2007-02-28;135,4;25,191958;
2007-03-31;264,4;23,00914;
2007-04-30;65,2;23,759795;
2007-05-31;77,4;22,236606;
2007-06-30;133,6;20,98151;
2007-07-31;67,6;20,52237;
2007-08-31;110,8;20,348299;
2007-09-30;42;21,160477;
2007-10-31;4,6;23,635536;
2007-11-30;10;25,196667;
2007-12-31;20;25,227554;
2008-01-31;4,4;25,588575;
2008-02-29;91,4;25,34023;
2008-03-31;239,8;24,067257;
2008-04-30;90,2;23,245972;
2008-05-31;167,2;21,775999;
2008-06-30;65;20,490556;
2008-07-31;124,2;19,733333;
2008-08-31;54,6;20,565323;
2008-09-30;15,6;22,211111;
2008-10-31;6,6;23,824597;
2008-11-30;0;25,551673;
2008-12-31;22,6;25,822312;
2009-01-31;48,4;25,722008;
2009-02-28;95;24,494345;
2009-03-31;102,2;24,965591;
2009-04-30;133;24,099722;
2009-05-31;299,4;22,429839;
