Nome: GARANHUNS
Codigo Estacao: A322
Latitude: -8.91083333
Longitude: -36.49333333
Altitude: 827.78
Situacao: Operante
Data Inicial: 2007-07-07
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2007-07-31;null;null;
2007-08-31;null;null;
2007-09-30;null;18,897222;
2007-10-31;8,6;20,297435;
2007-11-30;null;22,192768;
2007-12-31;9;22,311816;
2008-01-31;3,2;22,634409;
2008-02-29;26,8;23,197321;
2008-03-31;226;22,564434;
2008-04-30;73,2;21,982778;
2008-05-31;184,2;20,476747;
2008-06-30;101;18,996872;
2008-07-31;138,6;18,160081;
2008-08-31;91,6;18,672581;
2008-09-30;29,4;19,742476;
2008-10-31;24,2;20,613441;
2008-11-30;0;22,531389;
2008-12-31;42,6;23,042339;
2009-01-31;15,4;23,130511;
2009-02-28;46,8;22,469792;
2009-03-31;16;23,230376;
2009-04-30;143,4;22,757083;
2009-05-31;145;21,197043;
2009-06-30;121,4;19,941528;
2009-07-31;104,6;19,424462;
2009-08-31;134,6;19,280914;
2009-09-30;13,8;20,765694;
2009-10-31;27,4;22,276006;
2009-11-30;15,8;22,317778;
2009-12-31;45,4;22,791936;
2010-01-31;102;22,091806;
2010-02-28;46,2;22,779018;
2010-03-31;105,2;23,628343;
2010-04-30;183,6;22,484306;
2010-05-31;38,8;21,848253;
2010-06-30;374,4;20,022222;
2010-07-31;118,8;19,064247;
2010-08-31;87;18,337091;
2010-09-30;95,8;19,163194;
2010-10-31;73,6;21,548521;
2010-11-30;1,4;22,32375;
2010-12-31;10;22,865995;
2011-01-31;56,2;22,275134;
2011-02-28;62,2;22,591375;
2011-03-31;129,2;23,326042;
2011-04-30;98,4;22,009444;
2011-05-31;null;20,585325;
2011-06-30;null;19,776666;
2011-07-31;null;null;
2011-08-31;null;19,082769;
2011-09-30;null;19,156179;
2011-10-31;14,2;20,985349;
2011-11-30;27;21,667361;
2011-12-31;0;22,70578;
2012-01-31;18,8;22,18871;
2012-02-29;26,4;22,006178;
2012-03-31;4;22,369261;
2012-04-30;32,6;21,946806;
2012-05-31;59;21,389919;
2012-06-30;65,2;19,948074;
2012-07-31;98,6;18,780914;
2012-08-31;100,2;18,394167;
2012-09-30;15,8;19,496389;
2012-10-31;12,2;20,690323;
2012-11-30;1;23,024167;
