Nome: SURUBIM
Codigo Estacao: A328
Latitude: -7.83972221
Longitude: -35.80111111
Altitude: 421.44
Situacao: Operante
Data Inicial: 2008-03-08
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2008-03-31;null;25,236594;
2008-04-30;59,6;24,44454;
2008-05-31;114;23,423919;
2008-06-30;65,4;21,780652;
2008-07-31;93,4;21,184543;
2008-08-31;79,8;21,427957;
2008-09-30;19,6;22,932222;
2008-10-31;8,2;24,202016;
2008-11-30;,2;25,130972;
2008-12-31;2,2;25,618414;
2009-01-31;10,6;25,843414;
2009-02-28;144,4;24,920684;
2009-03-31;62;25,136425;
2009-04-30;40;25,172917;
2009-05-31;99,2;24,254301;
2009-06-30;84,6;22,576389;
2009-07-31;88,2;22,051882;
2009-08-31;94,4;22,044624;
2009-09-30;16,8;23,314861;
2009-10-31;,4;24,689368;
2009-11-30;19,2;24,946945;
2009-12-31;12,6;25,730376;
2010-01-31;112,4;24,866972;
2010-02-28;16,4;25,939434;
2010-03-31;32,6;26,800807;
2010-04-30;90,8;25,581944;
2010-05-31;37,2;24,983228;
2010-06-30;270,8;23,331389;
2010-07-31;40,8;21,979301;
2010-08-31;52,8;21,305598;
2010-09-30;32,4;22,360694;
2010-10-31;7,8;24,72043;
2010-11-30;2,8;25,30375;
2010-12-31;49,2;25,286156;
2011-01-31;70,6;24,883468;
2011-02-28;35,8;25,516049;
2011-03-31;76,8;25,702699;
2011-04-30;181,2;24,592222;
2011-05-31;192,2;23,175357;
2011-06-30;105,4;22,349306;
2011-07-31;145;21,206183;
2011-08-31;69,2;21,538306;
2011-09-30;15,6;22,060417;
2011-10-31;25,4;23,769331;
2011-11-30;23,4;24,438333;
2011-12-31;3,6;25,197581;
2012-01-31;65,6;24,620518;
2012-02-29;50,8;24,371695;
2012-03-31;12,6;25,10658;
2012-04-30;3,6;25,309167;
2012-05-31;21,2;24,364113;
2012-06-30;null;22,720417;
2012-07-31;null;21,400403;
2012-08-31;4,6;21,565694;
2012-09-30;2;23,378611;
2012-10-31;5,6;24,03293;
2012-11-30;1,6;25,289028;
2012-12-31;10;25,578763;
2013-01-31;30,4;25,697581;
2013-02-28;null;26,066408;
2013-03-31;null;null;
2013-04-30;109,2;25,726724;
2013-05-31;39,8;23,923522;
2013-06-30;74,8;22,876724;
2013-07-31;117,4;21,834677;
2013-08-31;61,6;21,876613;
2013-09-30;19,4;22,74;
2013-10-31;16,4;24,11707;
2013-11-30;13,8;24,4825;
