Nome: CABROBO
Codigo Estacao: A329
Latitude: -8.50388888
Longitude: -39.31527777
Altitude: 342.74
Situacao: Operante
Data Inicial: 2007-09-03
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2007-09-30;null;25,473;
2007-10-31;0;27,375976;
2007-11-30;null;29,204174;
2007-12-31;25,8;28,919624;
2008-01-31;47,6;28,574194;
2008-02-29;164,8;26,726339;
2008-03-31;203,6;25,805376;
2008-04-30;216,2;25,279444;
2008-05-31;13,6;24,835484;
2008-06-30;3,6;23,930664;
2008-07-31;12,2;23,246371;
2008-08-31;4;24,852957;
2008-09-30;,4;26,544722;
2008-10-31;,6;27,822984;
2008-11-30;0;30,049167;
2008-12-31;20,8;28,848118;
2009-01-31;133,8;28,570968;
2009-02-28;82;27,001042;
2009-03-31;103,4;27,404301;
2009-04-30;252,2;25,870139;
2009-05-31;64,6;24,54086;
2009-06-30;26,8;24,285556;
2009-07-31;4,6;24,615323;
2009-08-31;9,8;25,027688;
2009-09-30;0;27,36;
2009-10-31;29,8;28,635345;
2009-11-30;7,8;29,367778;
2009-12-31;31,8;28,696909;
2010-01-31;31,2;27,69875;
2010-02-28;61,8;28,653571;
2010-03-31;48,6;28,74664;
2010-04-30;108,8;26,963194;
2010-05-31;17;26,992204;
2010-06-30;17,8;24,710972;
2010-07-31;16;24,181317;
2010-08-31;9,2;24,293011;
2010-09-30;4,6;25,464167;
2010-10-31;102,4;28,120968;
2010-11-30;,4;28,782361;
2010-12-31;84;27,48965;
2011-01-31;69,4;27,182796;
2011-02-28;145,8;27,659375;
2011-03-31;90,8;26,933633;
2011-04-30;25,6;27,179909;
2011-05-31;107;25,045565;
2011-06-30;7,8;24,842778;
2011-07-31;22,2;23,852823;
2011-08-31;6;25,140457;
2011-09-30;5,6;25,262222;
2011-10-31;8,8;27,743952;
2011-11-30;24,6;28,128611;
2011-12-31;48,6;29,006142;
2012-01-31;11,8;28,63871;
2012-02-29;113;27,381034;
2012-03-31;38,8;28,206755;
2012-04-30;0;28,295417;
2012-05-31;11,2;26,881317;
2012-06-30;3,2;25,9425;
2012-07-31;13;24,31922;
2012-08-31;7,4;24,172361;
2012-09-30;,6;26,157778;
2012-10-31;0;27,318058;
2012-11-30;7,4;29,76625;
2012-12-31;1,2;29,475672;
2013-01-31;46,6;28,732661;
2013-02-28;0;29,385714;
2013-03-31;,8;29,759483;
2013-04-30;14,2;28,450893;
2013-05-31;4,4;26,912366;
2013-06-30;null;null;
2013-07-31;12,2;24,75744;
2013-08-31;1,8;25,239785;
2013-09-30;0;26,893195;
2013-10-31;5,2;28,081183;
2013-11-30;1,4;28,4475;
2013-12-31;201;28,546505;
2014-01-31;7,4;28,485618;
2014-02-28;27;27,982292;
2014-03-31;12,8;28,407258;
2014-04-30;46,8;27,356528;
2014-05-31;20,2;26,101613;
2014-06-30;9;25,507917;
2014-07-31;8,4;24,876344;
2014-08-31;13;24,684274;
2014-09-30;5;26,812778;
2014-10-31;2,2;27,522849;
2014-11-30;31;28,524167;
2014-12-31;45,2;27,968548;
2015-01-31;3;29,064785;
2015-02-28;61,2;28,403423;
2015-03-31;114,2;28,41922;
2015-04-30;16,8;28,61625;
2015-05-31;6,8;27,672984;
2015-06-30;11;25,576824;
2015-07-31;null;25,040451;
2015-08-31;1;25,558065;
2015-09-30;2,4;27,56;
2015-10-31;0;28,56828;
2015-11-30;0;30,730139;
2015-12-31;15,8;29,850672;
2016-01-31;204,2;27,156586;
2016-02-29;36,6;27,626006;
2016-03-31;79,6;29,465054;
2016-04-30;null;null;
2016-05-31;null;null;
2016-06-30;null;null;
2016-07-31;4;24,887903;
2016-08-31;1,8;25,651741;
2016-09-30;,2;27,3675;
2016-10-31;1,8;28,825538;
2016-11-30;2,2;29,565278;
2016-12-31;45,8;29,418817;
2017-01-31;0;29,287366;
2017-02-28;89;28,93497;
2017-03-31;18,6;29,057661;
2017-04-30;17,6;28,205278;
2017-05-31;5,4;26,876882;
2017-06-30;41,6;24,63;
2017-07-31;21,8;22,974597;
2017-08-31;2,6;24,984673;
2017-09-30;11,2;24,955556;
2017-10-31;,2;27,475403;
2017-11-30;8,2;29,521806;
2017-12-31;8,2;29,824597;
2018-01-31;47,8;28,627285;
2018-02-28;196,8;27,4125;
2018-03-31;37,4;27,724597;
2018-04-30;81,4;26,498611;
2018-05-31;3;26,511962;
2018-06-30;,4;25,387778;
2018-07-31;,2;24,925403;
2018-08-31;0;25,927016;
2018-09-30;0;27,208611;
2018-10-31;4,2;28,972312;
2018-11-30;null;29,808333;
2018-12-31;null;null;
2019-01-31;null;null;
2019-02-28;null;null;
2019-03-31;null;null;
2019-04-30;15,8;27,8275;
2019-05-31;51;27,626075;
2019-06-30;21,4;25,327271;
2019-07-31;39,4;24,209543;
2019-08-31;2,6;24,733064;
2019-09-30;0;27,038194;
2019-10-31;1,4;28,565591;
2019-11-30;1,8;29,753333;
2019-12-31;39,8;29,685081;
2020-01-31;83,6;28,676075;
2020-02-29;146,2;27,597701;
2020-03-31;90,6;27,124328;
2020-04-30;126;26,954638;
2020-05-31;40,2;26,272715;
2020-06-30;12,4;24,91125;
2020-07-31;2,8;24,393145;
2020-08-31;1,6;25,175941;
2020-09-30;,2;26,627917;
2020-10-31;1,6;29,245699;
2020-11-30;50,6;27,860556;
2020-12-31;18,6;28,760753;
2021-01-31;28,8;28,093683;
2021-02-28;159,6;28,074851;
2021-03-31;12,8;28,042204;
2021-04-30;101,2;26,996389;
2021-05-31;3,4;25,681855;
2021-06-30;9,2;25,317917;
2021-07-31;17;24,787097;
2021-08-31;3;25,136425;
2021-09-30;0;27,503472;
2021-10-31;4,2;28,984173;
2021-11-30;null;29,431413;
2021-12-31;null;null;
2022-01-31;null;null;
2022-02-28;null;null;
2022-03-31;null;null;
2022-04-30;null;null;
2022-05-31;null;null;
2022-06-30;null;null;
2022-07-31;null;null;
2022-08-31;null;null;
2022-09-30;0;26,404306;
2022-10-31;81,2;28,060753;
2022-11-30;248,8;26,889445;
2022-12-31;100;26,903629;

