Nome: CARUARU
Codigo Estacao: A341
Latitude: -8.36527777
Longitude: -36.02833332
Altitude: 852
Situacao: Operante
Data Inicial: 2007-11-20
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2007-11-30;null;null;
2007-12-31;null;null;
2008-01-31;null;null;
2008-02-29;null;null;
2008-03-31;110,8;24,053091;
2008-04-30;124,2;23,304722;
2008-05-31;80,8;22,763511;
2008-06-30;59,2;21,127386;
2008-07-31;74;20,34328;
2008-08-31;58,4;20,854167;
2008-09-30;10,6;22,026667;
2008-10-31;3,6;23,194086;
2008-11-30;,2;24,207083;
2008-12-31;13,6;24,692742;
2009-01-31;46,2;24,998387;
2009-02-28;96,8;23,900149;
2009-03-31;44,6;24,265188;
2009-04-30;69;24,318194;
2009-05-31;139;23,442876;
2009-06-30;67,2;21,891944;
2009-07-31;142,2;21,256183;
2009-08-31;103,2;21,267876;
2009-09-30;6,4;22,353611;
2009-10-31;2;23,794253;
2009-11-30;12,6;23,962778;
2009-12-31;54,4;24,639651;
2010-01-31;66;23,69375;
2010-02-28;62,6;24,754018;
2010-03-31;63,8;25,439516;
2010-04-30;113,4;24,437639;
2010-05-31;10,6;24,128763;
2010-06-30;300;22,375694;
2010-07-31;60,4;21,230108;
2010-08-31;32,2;20,511455;
2010-09-30;37,6;21,490447;
2010-10-31;16;23,707258;
2010-11-30;,2;24,27375;
2010-12-31;18,8;24,490726;
2011-01-31;174;23,861156;
2011-02-28;null;24,099375;
2011-03-31;72,4;24,467419;
2011-04-30;140,4;23,640139;
2011-05-31;170;22,442339;
2011-06-30;null;21,712314;
2011-07-31;null;null;
2011-08-31;null;null;
2011-09-30;null;21,52023;
2011-10-31;3,2;23,14543;
2011-11-30;1;23,551667;
2011-12-31;1,8;24,421909;
2012-01-31;2;23,839247;
2012-02-29;2;23,751293;
2012-03-31;1;23,89664;
2012-04-30;,4;24,02;
2012-05-31;1,4;23,499059;
2012-06-30;2,4;21,895;
2012-07-31;1,2;20,774328;
2012-08-31;1,4;20,675278;
2012-09-30;,2;21,998611;
2012-10-31;0;22,972177;
2012-11-30;0;24,348194;
2012-12-31;2,6;24,652151;
2013-01-31;16,2;24,960081;
2013-02-28;3,6;25,042857;
2013-03-31;null;25,135985;
2013-04-30;null;24,46553;
2013-05-31;31,8;22,998656;
2013-06-30;100;21,916806;
2013-07-31;176,4;20,875807;
2013-08-31;40,4;20,974866;
2013-09-30;20,2;22,032071;
2013-10-31;24,2;23,240323;
2013-11-30;46,4;23,363611;
2013-12-31;13;24,53293;
2014-01-31;16,4;24,352151;
2014-02-28;42;23,901786;
2014-03-31;24,2;24,40914;
2014-04-30;84;24,141667;
2014-05-31;67;22,65337;
2014-06-30;null;null;
2014-07-31;null;null;
2014-08-31;34;21,121909;
2014-09-30;35,2;22,065695;
2014-10-31;32,8;22,615188;
2014-11-30;10,6;23,697639;
2014-12-31;2,6;24,089247;
2015-01-31;4,8;24,443496;
2015-02-28;6,6;24,826935;
2015-03-31;46,4;24,656586;
2015-04-30;17,6;25,369306;
2015-05-31;34,2;24,10793;
2015-06-30;101,2;21,927222;
2015-07-31;99,6;21,081317;
2015-08-31;32,6;21,135349;
2015-09-30;10;22,628889;
2015-10-31;4;23,535484;
2015-11-30;2;24,824583;
2015-12-31;49,2;24,474328;
2016-01-31;65,4;24,285618;
2016-02-29;42,2;24,343391;
2016-03-31;72;24,693952;
2016-04-30;49,6;23,859444;
2016-05-31;59,8;23,136156;
2016-06-30;50,8;22,221945;
2016-07-31;25,2;21,551747;
2016-08-31;18;21,844489;
2016-09-30;13,2;22,774306;
2016-10-31;4,2;23,994349;
2016-11-30;2,2;24,550139;
2016-12-31;3,4;24,989247;
2017-01-31;1;25,025672;
2017-02-28;11,8;25,038839;
2017-03-31;3,4;25,569086;
2017-04-30;40,8;24,699445;
2017-05-31;21;23,506452;
2017-06-30;null;21,87125;
2017-07-31;null;20,00793;
2017-08-31;null;20,941667;
2017-09-30;null;21,007812;
2017-10-31;null;23,126389;
2017-11-30;null;23,996806;
2017-12-31;2,8;24,80672;
2018-01-31;,2;24,394355;
2018-02-28;null;24,432887;
2018-03-31;null;24,855303;
2018-04-30;null;null;
2018-05-31;null;null;
2018-06-30;null;null;
2018-07-31;null;null;
2018-08-31;47,2;19,255376;
2018-09-30;30,6;19,834306;
2018-10-31;,8;21,512634;
2018-11-30;15,4;21,744861;
2018-12-31;47;22,166398;
2019-01-31;39;21,663978;
2019-02-28;112,4;22,550298;
2019-03-31;153,2;22,694893;
2019-04-30;101,2;22,362639;
2019-05-31;61,8;21,614919;
2019-06-30;null;19,930139;
2019-07-31;null;19,052285;
2019-08-31;3,4;18,647043;
2019-09-30;,8;19,613333;
2019-10-31;,8;20,654839;
2019-11-30;3,2;22,037917;
2019-12-31;10,6;22,280511;
2020-01-31;12,2;22,921237;
2020-02-29;15,2;23,185488;
2020-03-31;156,6;23,034812;
2020-04-30;160,8;22,342639;
2020-05-31;93,2;21,235618;
2020-06-30;146,4;19,849722;
2020-07-31;15;18,915726;
2020-08-31;10,6;18,850806;
2020-09-30;8,8;19,388194;
2020-10-31;1,4;21,249059;
2020-11-30;31;21,870972;
2020-12-31;25,4;21,620027;
2021-01-31;null;21,700174;
2021-02-28;null;null;
2021-03-31;null;null;
2021-04-30;null;null;
2021-05-31;null;null;
2021-06-30;null;null;
2021-07-31;null;null;
2021-08-31;null;null;
2021-09-30;null;null;
2021-10-31;null;null;
2021-11-30;null;null;
2021-12-31;null;null;
2022-01-31;null;null;
2022-02-28;null;null;
2022-03-31;null;null;
2022-04-30;null;null;
2022-05-31;null;null;
2022-06-30;211,6;19,446142;
2022-07-31;367,6;18,836962;
2022-08-31;194,2;18,631989;
2022-09-30;53,6;19,509861;
2022-10-31;null;null;
2022-11-30;null;null;
2022-12-31;null;null;

