Nome: IBIMIRIM
Codigo Estacao: A349
Latitude: -8.50944444
Longitude: -37.71166666
Altitude: 434.23
Situacao: Operante
Data Inicial: 2008-10-13
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2008-10-31;null;26,673177;
2008-11-30;0;28,333321;
2008-12-31;28,2;27,826747;
2009-01-31;25;27,814031;
2009-02-28;66;26,503125;
2009-03-31;29,4;27,385215;
2009-04-30;212,4;25,725972;
2009-05-31;185,2;23,762231;
2009-06-30;36,6;22,604028;
2009-07-31;14,4;22,631855;
2009-08-31;22,6;22,930914;
2009-09-30;5;25,323889;
2009-10-31;16,6;27,567529;
2009-11-30;5;27,724583;
2009-12-31;95,8;27,298387;
2010-01-31;240;25,811681;
2010-02-28;89;26,543899;
2010-03-31;104,2;27,368279;
2010-04-30;175,4;25,617361;
2010-05-31;23,2;25,66922;
2010-06-30;48,6;22,901111;
2010-07-31;32;22,15578;
2010-08-31;6;22,313206;
2010-09-30;9,4;23,794444;
2010-10-31;54,8;26,460349;
2010-11-30;4,2;27,526945;
2010-12-31;59,2;26,971371;
2011-01-31;109,2;26,315457;
2011-02-28;147,4;26,011607;
2011-03-31;98,6;26,34166;
2011-04-30;67,4;25,116944;
2011-05-31;50,6;23,599462;
2011-06-30;13,2;23,165833;
2011-07-31;19,2;22,185215;
2011-08-31;17,6;23,099328;
2011-09-30;12,6;23,4;
2011-10-31;9,8;26,353091;
2011-11-30;13,8;26,831528;
2011-12-31;1,4;28,277285;
2012-01-31;16,4;27,332392;
2012-02-29;20;26,623994;
2012-03-31;57,8;26,945833;
2012-04-30;1;26,756806;
2012-05-31;6,4;25,776882;
2012-06-30;null;24,663368;
2012-07-31;12,6;22,898522;
2012-08-31;11;22,701111;
2012-09-30;,4;24,642083;
2012-10-31;1,4;26,050134;
2012-11-30;5,4;28,805694;
2012-12-31;10;28,310887;
2013-01-31;41,8;28,242742;
2013-02-28;3,4;28,272322;
2013-03-31;54,6;28,520402;
2013-04-30;45,2;27,355;
2013-05-31;30,8;25,068145;
2013-06-30;7,4;24,293624;
2013-07-31;36,2;23,015591;
2013-08-31;4,6;23,485618;
2013-09-30;0;25,364722;
2013-10-31;11,2;26,807661;
2013-11-30;19,8;27,088889;
2013-12-31;83,2;27,864113;
