Nome: SERRA TALHADA
Codigo Estacao: A350
Latitude: -7.95416666
Longitude: -38.29499999
Altitude: 499.02
Situacao: Operante
Data Inicial: 2008-07-08
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2008-07-31;null;null;
2008-08-31;null;null;
2008-09-30;null;26,13745;
2008-10-31;null;26,922942;
2008-11-30;null;null;
2008-12-31;null;null;
2009-01-31;null;null;
2009-02-28;null;25,150112;
2009-03-31;120,2;25,417473;
2009-04-30;131,4;24,626806;
2009-05-31;300,6;23,449462;
2009-06-30;61;22,567083;
2009-07-31;13,2;22,803091;
2009-08-31;34,4;23,393011;
2009-09-30;0;26,140755;
2009-10-31;17,8;27,630603;
2009-11-30;25,6;27,960556;
2009-12-31;45;27,310484;
2010-01-31;128,8;25,568524;
2010-02-28;114,8;26,377381;
2010-03-31;14,2;27,710887;
2010-04-30;195,2;26,080139;
2010-05-31;31;26,219624;
2010-06-30;52;23,4175;
2010-07-31;36,6;22,93629;
2010-08-31;2,8;23,352681;
2010-09-30;3;24,900417;
2010-10-31;null;27,689546;
2010-11-30;null;null;
2010-12-31;null;null;
2011-01-31;null;null;
2011-02-28;null;null;
2011-03-31;null;null;
2011-04-30;180,4;24,516667;
2011-05-31;154,4;23,385215;
2011-06-30;31,8;23,040556;
2011-07-31;18;22,589382;
2011-08-31;64;23,758065;
2011-09-30;5,8;24,215833;
2011-10-31;38,4;26,697178;
2011-11-30;36,6;26,384167;
2011-12-31;19;27,839919;
2012-01-31;31;26,998656;
2012-02-29;114,6;26,3625;
2012-03-31;54,8;26,449597;
2012-04-30;3;27,179444;
2012-05-31;13,6;26,356048;
2012-06-30;2;25,214722;
2012-07-31;11,6;23,842742;
2012-08-31;5,4;23,593194;
2012-09-30;,2;25,688472;
2012-10-31;1,2;26,893683;
2012-11-30;1,8;28,913194;
2012-12-31;7;28,722715;
2013-01-31;109,8;27,724731;
2013-02-28;20;28,539434;
2013-03-31;68,6;28,375144;
2013-04-30;112,8;26,537361;
2013-05-31;47,6;25,2875;
2013-06-30;35,4;24,915164;
2013-07-31;44;23,633602;
2013-08-31;5,8;24,413172;
2013-09-30;0;26,244167;
2013-10-31;4,6;27,398118;
2013-11-30;3,2;27,525139;
2013-12-31;101,4;27,548522;
2014-01-31;10,2;27,167204;
2014-02-28;null;26,423066;
2014-03-31;null;26,00121;
2014-04-30;103,4;25,229444;
2014-05-31;110,2;24,178898;
2014-06-30;11;24,121667;
2014-07-31;12,6;23,804167;
2014-08-31;,2;23,855511;
2014-09-30;0;25,969028;
2014-10-31;,6;26,236828;
2014-11-30;8,2;27,167639;
2014-12-31;,4;26,753763;
2015-01-31;1,8;27,159794;
2015-02-28;null;27,129613;
2015-03-31;null;26,571505;
2015-04-30;null;26,611806;
2015-05-31;,8;26,450134;
2015-06-30;7;24,31875;
2015-07-31;61,2;23,504839;
2015-08-31;4,8;24,522043;
2015-09-30;0;27,019861;
2015-10-31;0;27,820699;
2015-11-30;5,2;29,195139;
2015-12-31;17;28,334409;
2016-01-31;185,6;25,939247;
2016-02-29;39,4;26,242241;
2016-03-31;155,2;27,862097;
2016-04-30;19;26,64;
2016-05-31;42;25,993817;
2016-06-30;15,6;24,899167;
2016-07-31;7,2;24,194758;
2016-08-31;0;25,303091;
2016-09-30;22,2;26,807917;
2016-10-31;null;null;
2016-11-30;null;null;
2016-12-31;null;27,768371;
2017-01-31;17,4;28,380511;
2017-02-28;102;27,692559;
2017-03-31;86,2;27,072178;
2017-04-30;186,2;25,245278;
2017-05-31;36,8;24,885484;
2017-06-30;138,6;23,246667;
2017-07-31;51,4;21,36828;
2017-08-31;2,4;23,767742;
2017-09-30;2,4;24,190278;
2017-10-31;,2;26,745027;
2017-11-30;3,6;28,444167;
2017-12-31;10,8;28,585753;
2018-01-31;28;27,353091;
2018-02-28;166,4;26,266964;
2018-03-31;106,8;25,609946;
2018-04-30;52,4;24,406806;
2018-05-31;11,4;24,589382;
2018-06-30;null;null;
2018-07-31;null;null;
2018-08-31;0;25,216801;
2018-09-30;0;26,691389;
2018-10-31;4,6;28,369758;
2018-11-30;44,8;28,47125;
2018-12-31;128;26,058602;
2019-01-31;37,4;27,558871;
2019-02-28;78,8;26,888839;
2019-03-31;216,4;26,280376;
2019-04-30;165,8;25,550833;
2019-05-31;47,6;25,124597;
2019-06-30;48,6;24,283333;
2019-07-31;14;23,493952;
2019-08-31;6,4;24,003629;
2019-09-30;0;26,491944;
2019-10-31;0;27,907392;
2019-11-30;52,6;28,794167;
2019-12-31;8,2;28,310349;
2020-01-31;62,4;27,532124;
