Nome: FLORESTA
Codigo Estacao: A351
Latitude: -8.59888888
Longitude: -38.58416666
Altitude: 327.42
Situacao: Operante
Data Inicial: 2008-09-14
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2008-09-30;null;null;
2008-10-31;0;27,299597;
2008-11-30;0;29,563472;
2008-12-31;69;28,317473;
2009-01-31;96,8;28,241935;
2009-02-28;101;27,108333;
2009-03-31;35;27,890726;
2009-04-30;151,6;26,183889;
2009-05-31;65,4;24,81707;
2009-06-30;28,6;23,933219;
2009-07-31;7,2;24,115323;
2009-08-31;17,8;24,294892;
2009-09-30;,2;26,704861;
2009-10-31;3,8;28,592385;
2009-11-30;8,2;28,860694;
2009-12-31;41,4;28,516667;
2010-01-31;123,4;27,261559;
2010-02-28;45;27,936905;
2010-03-31;50,6;28,886962;
2010-04-30;145,4;26,997778;
2010-05-31;27,4;26,61828;
2010-06-30;null;null;
2010-07-31;null;null;
2010-08-31;null;null;
2010-09-30;null;null;
2010-10-31;null;27,7425;
2010-11-30;,8;29,068056;
2010-12-31;216,4;27,953629;
2011-01-31;73,4;27,386559;
2011-02-28;55,6;27,61875;
2011-03-31;69,6;27,96756;
2011-04-30;31,4;27,015972;
2011-05-31;49,8;25,252408;
2011-06-30;14,8;24,775355;
2011-07-31;14,6;23,720076;
2011-08-31;20,4;24,858914;
2011-09-30;null;25,117754;
2011-10-31;9;27,610618;
2011-11-30;23,4;27,895972;
2011-12-31;1,2;29,45935;
2012-01-31;null;null;
2012-02-29;null;null;
2012-03-31;31,2;28,391111;
2012-04-30;,6;28,241806;
2012-05-31;4,8;26,881078;
2012-06-30;5,6;25,874722;
2012-07-31;9,8;24,091129;
2012-08-31;10,2;23,935556;
2012-09-30;,8;26,066806;
2012-10-31;,2;27,285081;
2012-11-30;5,8;30,004583;
2012-12-31;8,2;29,598925;
2013-01-31;44,2;29,143279;
2013-02-28;0;29,463542;
2013-03-31;7,6;29,878736;
2013-04-30;36;28,535;
2013-05-31;7,2;26,742339;
2013-06-30;4,4;26,111351;
2013-07-31;31,2;24,534379;
2013-08-31;2,4;25,071909;
2013-09-30;0;26,841111;
2013-10-31;15,4;27,956989;
2013-11-30;,8;28,508333;
2013-12-31;185;28,856989;
2014-01-31;1;28,720968;
2014-02-28;68,4;28,114732;
2014-03-31;null;28,45914;
2014-04-30;64,4;27,561806;
2014-05-31;26;25,634946;
2014-06-30;5,4;25,374851;
2014-07-31;32;24,524425;
2014-08-31;11,8;24,368548;
2014-09-30;1,8;26,5;
2014-10-31;2,2;27,172984;
2014-11-30;50,4;28,510339;
2014-12-31;24,4;28,295284;
2015-01-31;1,4;28,928448;
2015-02-28;null;28,532926;
2015-03-31;36,6;28,907661;
2015-04-30;21,6;28,777778;
2015-05-31;8,6;27,639516;
2015-06-30;8;25,191389;
2015-07-31;14,2;24,761828;
2015-08-31;3,4;25,253898;
2015-09-30;0;27,489167;
2015-10-31;0;28,535081;
2015-11-30;,2;30,714167;
2015-12-31;48,4;29,431183;
2016-01-31;130,2;27,395027;
2016-02-29;58,4;27,869109;
2016-03-31;39,4;29,570968;
2016-04-30;null;null;
2016-05-31;null;26,607108;
2016-06-30;39,2;25,387917;
2016-07-31;6,2;24,639651;
2016-08-31;0;25,554973;
2016-09-30;0;27,274028;
2016-10-31;0;28,794945;
2016-11-30;0;29,700139;
2016-12-31;10;29,804167;
2017-01-31;,8;29,500672;
2017-02-28;27,2;29,402232;
2017-03-31;170,2;29,200538;
2017-04-30;70,4;27,937639;
