Nome: PALMARES
Codigo Estacao: A357
Latitude: -8.66666666
Longitude: -35.56805554
Altitude: 164.01
Situacao: Operante
Data Inicial: 2008-09-03
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2008-09-30;null;null;
2008-10-31;50,8;24,423522;
2008-11-30;4,6;25,633829;
2008-12-31;11,2;26,272312;
2009-01-31;30,2;26,655779;
2009-02-28;112,4;25,774256;
2009-03-31;31,6;26,547984;
2009-04-30;239;25,961111;
2009-05-31;284;24,818817;
2009-06-30;243,8;23,634444;
2009-07-31;222,2;23,008737;
2009-08-31;199;23,081317;
2009-09-30;51,4;24,158611;
2009-10-31;10,2;25,332865;
2009-11-30;29,2;25,526667;
2009-12-31;63,6;26,177688;
2010-01-31;129,2;25,40892;
2010-02-28;108;26,121429;
2010-03-31;63;26,742204;
2010-04-30;134,2;26,234444;
2010-05-31;6;25,56371;
2010-06-30;2;24,150972;
2010-07-31;78,6;22,933333;
2010-08-31;126,4;22,175073;
2010-09-30;108,8;22,957917;
2010-10-31;18,6;25,024731;
2010-11-30;7,2;25,64875;
2010-12-31;11,8;26,392473;
2011-01-31;75,4;25,886425;
2011-02-28;99,6;25,837202;
2011-03-31;51,6;26,516941;
2011-04-30;227;25,358194;
2011-05-31;566;24,168548;
2011-06-30;179;23,593472;
2011-07-31;334;22,329032;
2011-08-31;99,4;22,865591;
2011-09-30;47,6;23,145278;
2011-10-31;31,6;24,527419;
2011-11-30;87,2;24,983333;
2011-12-31;12,2;25,914247;
2012-01-31;5,2;25,397446;
2012-02-29;167,4;25,366667;
2012-03-31;42,8;25,636962;
2012-04-30;45,6;25,571528;
2012-05-31;85;25,142339;
2012-06-30;196,8;23,520833;
2012-07-31;214,6;22,590188;
2012-08-31;120,2;22,173194;
2012-09-30;21,4;23,284722;
2012-10-31;32,8;24,088575;
2012-11-30;13,4;25,592222;
2012-12-31;26,4;26,110887;
2013-01-31;85,4;26,399731;
2013-02-28;13,8;26,821875;
2013-03-31;34,4;26,936063;
2013-04-30;229,4;26,227639;
2013-05-31;166;24,766263;
2013-06-30;236,2;23,863207;
2013-07-31;27,8;22,906048;
2013-08-31;158,4;22,88871;
2013-09-30;120,6;23,299028;
2013-10-31;64,2;24,245699;
2013-11-30;70,8;24,573333;
2013-12-31;34,8;25,803898;
2014-01-31;24,4;25,602688;
2014-02-28;202;25,138691;
2014-03-31;137,6;25,594892;
2014-04-30;83;25,697778;
2014-05-31;200,2;24,322177;
2014-06-30;71,8;23,60375;
2014-07-31;53,8;22,879839;
2014-08-31;null;22,549731;
2014-09-30;123,8;23,292778;
2014-10-31;208,2;23,891667;
2014-11-30;26,4;24,760139;
2014-12-31;,2;25,244758;
2015-01-31;,2;25,758415;
2015-02-28;null;26,135417;
2015-03-31;null;25,828898;
2015-04-30;null;26,852917;
2015-05-31;53,2;25,384274;
2015-06-30;339,8;23,64125;
2015-07-31;331;22,906048;
2015-08-31;88,6;22,932527;
2015-09-30;null;23,76693;
2015-10-31;null;null;
2015-11-30;null;26,149333;
2015-12-31;105,2;25,85793;
2016-01-31;150,4;25,916667;
2016-02-29;73,4;25,806322;
2016-03-31;null;26,050672;
2016-04-30;null;25,216111;
2016-05-31;null;24,522446;
2016-06-30;null;23,683056;
2016-07-31;73,8;22,710215;
2016-08-31;5,4;22,983333;
2016-09-30;40;23,809028;
2016-10-31;11,4;24,950456;
2016-11-30;null;25,55;
2016-12-31;28,8;26,409409;
2017-01-31;null;null;
2017-02-28;null;null;
2017-03-31;null;null;
2017-04-30;null;null;
2017-05-31;null;24,75471;
2017-06-30;350,6;23,556945;
2017-07-31;347;21,909812;
2017-08-31;96;22,831452;
2017-09-30;null;22,79375;
2017-10-31;46;24,124059;
2017-11-30;6;25,226667;
2017-12-31;94,4;26,265188;
2018-01-31;107;25,514785;
2018-02-28;130,2;25,695536;
2018-03-31;null;null;
2018-04-30;300,8;24,5725;
2018-05-31;209,4;24,144086;
2018-06-30;78,2;23,17125;
2018-07-31;114,6;22,484677;
2018-08-31;47,4;23,122446;
2018-09-30;35,2;23,713735;
2018-10-31;null;null;
2018-11-30;null;25,616288;
2018-12-31;null;25,771079;
2019-01-31;null;null;
2019-02-28;null;null;
2019-03-31;null;null;
2019-04-30;null;null;
2019-05-31;82,2;25,103241;
2019-06-30;21;23,448472;
2019-07-31;31;22,80672;
2019-08-31;null;22,462903;
2019-09-30;0;23,565694;
2019-10-31;1;24,622984;
2019-11-30;6;26,049306;
2019-12-31;1;26,554301;
2020-01-31;7,2;27,317339;
2020-02-29;null;27,274282;
2020-03-31;null;26,869758;
2020-04-30;null;26,069306;
2020-05-31;null;24,979032;
2020-06-30;null;23,687222;
2020-07-31;null;22,740054;
2020-08-31;null;22,749462;
2020-09-30;null;23,328055;
2020-10-31;null;25,18535;
2020-11-30;null;26,030972;
2020-12-31;null;25,607755;
2021-01-31;null;25,54543;
2021-02-28;90,6;26,170238;
2021-03-31;108,2;25,489785;
2021-04-30;null;25,207639;
2021-05-31;null;24,22836;
2021-06-30;null;23,319028;
2021-07-31;null;23,005914;
2021-08-31;null;22,433602;
2021-09-30;null;24,113889;
2021-10-31;null;null;
2021-11-30;null;null;
2021-12-31;null;null;
2022-01-31;null;null;
2022-02-28;null;null;
2022-03-31;null;null;
2022-04-30;null;null;
2022-05-31;null;null;
2022-06-30;null;23,282341;
2022-07-31;0;22,733199;
2022-08-31;0;22,445699;
2022-09-30;0;23,393056;
2022-10-31;null;24,591801;
2022-11-30;null;25,014512;
2022-12-31;null;25,577957;

