Nome: OURICURI
Codigo Estacao: A366
Latitude: -7.88583333
Longitude: -40.10277777
Altitude: 457.85
Situacao: Pane
Data Inicial: 2010-08-10
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2010-08-31;null;24,314444;
2010-09-30;3,6;25,450695;
2010-10-31;34,4;27,875134;
2010-11-30;0;28,869306;
2010-12-31;104,6;26,25;
2011-01-31;73;25,627151;
2011-02-28;112,6;25,872917;
2011-03-31;135,4;25,253373;
2011-04-30;89,6;24,819305;
2011-05-31;154;23,63078;
2011-06-30;10,6;23,291111;
2011-07-31;8,8;23,364919;
2011-08-31;25,6;24,874328;
2011-09-30;1,6;25,100417;
2011-10-31;64,2;27,309946;
2011-11-30;57,6;26,941111;
2011-12-31;28;27,922312;
2012-01-31;55,2;27,339651;
2012-02-29;79;26,090086;
2012-03-31;24,2;27,15914;
2012-04-30;7,2;27,575972;
2012-05-31;6,2;26,554734;
2012-06-30;0;25,813611;
2012-07-31;9,4;24,304435;
2012-08-31;2;24,192639;
2012-09-30;,6;26,285556;
2012-10-31;1;27,526747;
2012-11-30;40,6;29,099028;
2012-12-31;9,8;28,996774;
2013-01-31;119,2;27,504167;
2013-02-28;,8;28,666964;
2013-03-31;53,2;28,672414;
2013-04-30;null;26,847554;
2013-05-31;null;26,434549;
2013-06-30;null;null;
2013-07-31;null;null;
2013-08-31;2,6;25,213172;
2013-09-30;0;26,92125;
2013-10-31;,8;28,186962;
2013-11-30;2,2;28,348889;
2013-12-31;82;27,926478;
2014-01-31;25;27,896236;
2014-02-28;134;26,631696;
2014-03-31;112,4;25,706048;
2014-04-30;77,4;25,620278;
2014-05-31;26,8;24,646891;
2014-06-30;6,6;24,970278;
2014-07-31;8,4;24,690726;
2014-08-31;1;24,917204;
2014-09-30;,6;26,962083;
2014-10-31;9;27,578091;
2014-11-30;45,6;27,95875;
2014-12-31;91,6;27,251528;
2015-01-31;null;null;
2015-02-28;null;null;
2015-03-31;null;null;
2015-04-30;null;null;
2015-05-31;90,6;25,365322;
2015-06-30;9,6;24,782361;
2015-07-31;20,2;24,616129;
2015-08-31;2;25,359812;
2015-09-30;51,4;27,538333;
2015-10-31;0;28,70914;
2015-11-30;null;null;
2015-12-31;null;null;
2016-01-31;null;null;
2016-02-29;null;null;
2016-03-31;25,4;28,724194;
2016-04-30;33;28,170694;
2016-05-31;43,2;26,968011;
2016-06-30;15,4;24,729306;
2016-07-31;3;24,658199;
2016-08-31;,6;25,70578;
2016-09-30;1,6;27,522222;
2016-10-31;0;28,859788;
2016-11-30;null;null;
2016-12-31;null;null;
2017-01-31;null;null;
2017-02-28;null;null;
2017-03-31;37,8;27,327823;
2017-04-30;75,4;26,499028;
2017-05-31;12,2;26,62621;
2017-06-30;28,4;24,403611;
2017-07-31;16,8;22,906989;
2017-08-31;1,2;25,012097;
2017-09-30;5,6;25,158194;
2017-10-31;0;27,85336;
2017-11-30;null;28,805263;
2017-12-31;null;null;
2018-01-31;null;null;
2018-02-28;null;null;
2018-03-31;109,4;27,158548;
2018-04-30;115,2;24,461667;
2018-05-31;10;25,234005;
2018-06-30;,8;24,822639;
2018-07-31;,6;24,389919;
2018-08-31;0;25,736425;
2018-09-30;0;27,285833;
2018-10-31;47,6;28,536559;
2018-11-30;null;28,619213;
2018-12-31;null;null;
2019-01-31;null;null;
2019-02-28;null;null;
2019-03-31;null;26,818397;
2019-04-30;27;25,443687;
2019-05-31;1,6;25,878629;
2019-06-30;31,8;24,46622;
2019-07-31;null;23,803241;
2019-08-31;36,6;24,675833;
2019-09-30;0;27,000694;
2019-10-31;0;28,388611;
2019-11-30;null;null;
2019-12-31;null;null;
2020-01-31;null;null;
2020-02-29;null;null;
2020-03-31;null;null;
2020-04-30;null;null;
2020-05-31;null;24,486951;
2020-06-30;null;23,866616;
2020-07-31;null;23,679583;
2020-08-31;0;24,763837;
2020-09-30;0;26,312222;
2020-10-31;null;28,612083;
2020-11-30;null;null;
2020-12-31;null;null;
2021-01-31;null;null;
2021-02-28;null;null;
2021-03-31;null;null;
2021-04-30;null;null;
2021-05-31;null;null;
2021-06-30;null;null;
2021-07-31;null;null;
2021-08-31;null;null;
2021-09-30;null;null;
2021-10-31;null;null;
2021-11-30;null;null;
2021-12-31;null;null;
2022-01-31;null;null;
2022-02-28;null;null;
2022-03-31;null;null;
2022-04-30;null;null;
2022-05-31;null;null;
2022-06-30;null;null;
2022-07-31;null;null;
2022-08-31;null;null;
2022-09-30;3,6;26,125278;
2022-10-31;16;27,872177;
2022-11-30;145,2;25,5375;
2022-12-31;192,4;25,520699;

