Nome: SALGUEIRO
Codigo Estacao: A370
Latitude: -8.05805555
Longitude: -39.0961111
Altitude: 447
Situacao: Operante
Data Inicial: 2017-09-14
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2017-09-30;null;null;
2017-10-31;null;28,007563;
2017-11-30;19;29,238539;
2017-12-31;22,4;29,165117;
2018-01-31;51,2;27,54602;
2018-02-28;228,6;25,866194;
2018-03-31;53,6;25,808435;
2018-04-30;91,2;24,627252;
2018-05-31;9;25,529741;
2018-06-30;1,2;24,848595;
2018-07-31;,6;24,475;
2018-08-31;,8;25,658404;
2018-09-30;0;27,377535;
2018-10-31;18,2;28,59484;
2018-11-30;0;29,241454;
2018-12-31;225,2;27,414177;
2019-01-31;20,6;28,070541;
2019-02-28;165,6;27,917644;
2019-03-31;179,2;27,649345;
2019-04-30;65,4;27,795278;
2019-05-31;null;null;
2019-06-30;null;null;
2019-07-31;28,8;23,3625;
2019-08-31;3,2;24,054185;
2019-09-30;0;27,06466;
2019-10-31;,8;28,613488;
2019-11-30;19,6;29,451365;
2019-12-31;12,2;28,908129;
2020-01-31;null;null;
2020-02-29;null;null;
2020-03-31;null;null;
2020-04-30;null;null;
2020-05-31;null;null;
2020-06-30;null;null;
2020-07-31;null;null;
2020-08-31;null;null;
2020-09-30;null;null;
2020-10-31;null;null;
2020-11-30;null;null;
2020-12-31;null;null;
2021-01-31;null;null;
2021-02-28;null;null;
2021-03-31;null;null;
2021-04-30;null;null;
2021-05-31;null;null;
2021-06-30;null;null;
2021-07-31;null;null;
2021-08-31;null;null;
2021-09-30;null;null;
2021-10-31;null;null;
2021-11-30;null;null;
2021-12-31;null;null;
2022-01-31;null;null;
2022-02-28;null;null;
2022-03-31;null;null;
2022-04-30;null;null;
2022-05-31;null;null;
2022-06-30;null;null;
2022-07-31;null;null;
2022-08-31;null;null;
2022-09-30;46,2;25,958069;
2022-10-31;null;27,932353;
2022-11-30;null;25,632835;
2022-12-31;85,2;25,99547;

